bin start		omega	        hist_DD	        hist_DR	        hist_RR
27.250	       0.017924	       52938536	       47086784	       41987622
27.500	       0.016767	       52939844	       47129939	       42024668
27.750	       0.016189	       52997406	       47206861	       42097820
28.000	       0.019846	       53261534	       47283456	       42141704
28.250	       0.024769	       53372466	       47262532	       42197788
28.500	       0.026702	       53509408	       47311166	       42240858
28.750	       0.024876	       53536002	       47382106	       42279970
29.000	       0.023951	       53589588	       47445686	       42315292
29.250	       0.021018	       53569186	       47520135	       42361418
29.500	       0.016790	       53488640	       47569234	       42361076
29.750	       0.015395	       53494724	       47615248	       42388320
30.000	       0.008973	       53281558	       47655100	       42409176
30.250	       0.007635	       53263666	       47686287	       42432878
30.500	       0.005550	       53265786	       47739440	       42448676
30.750	       0.003178	       53278514	       47792624	       42441602
31.000	      -0.000481	       53242036	       47855590	       42448740
31.250	      -0.000839	       53286484	       47881815	       42441518
31.500	      -0.001453	       53311352	       47903318	       42433616
31.750	      -0.004985	       53345824	       47978488	       42399808
32.000	      -0.006750	       53436058	       48044747	       42367470
32.250	      -0.006527	       53528446	       48081745	       42358562
32.500	      -0.009687	       53482128	       48108582	       42325054
32.750	      -0.011422	       53440976	       48124791	       42325174
33.000	      -0.008207	       53588448	       48113150	       42290768
33.250	       0.000739	       53920082	       48093790	       42298748
33.500	       0.001137	       54025952	       48128688	       42279492
33.750	       0.003400	       54109736	       48117646	       42269264
34.000	       0.002354	       54158962	       48138564	       42217542
34.250	       0.005708	       54339868	       48142021	       42184972
34.500	       0.010068	       54507326	       48118997	       42155098
34.750	       0.005484	       54304560	       48102826	       42132136
35.000	      -0.004392	       53920076	       48079805	       42054810
35.250	      -0.009124	       53681640	       48038806	       42012628
35.500	      -0.014391	       53517042	       48035026	       41949312
35.750	      -0.018192	       53437346	       48047000	       41894494
36.000	      -0.022613	       53211268	       47999778	       41842092
36.250	      -0.024664	       53024172	       47916545	       41778504
36.500	      -0.031490	       52658688	       47845966	       41719480
36.750	      -0.038124	       52261916	       47757106	       41663914
37.000	      -0.049220	       51753664	       47707205	       41612564
37.250	      -0.058234	       51331442	       47655318	       41559046
37.500	      -0.064626	       51069886	       47627553	       41503028
37.750	      -0.063701	       50982898	       47538291	       41453096
38.000	      -0.065412	       50909748	       47483097	       41351566
38.250	      -0.063697	       50788378	       47336837	       41257312
38.500	      -0.067934	       50572766	       47284193	       41196954
38.750	      -0.073233	       50147866	       47152132	       41143358
39.000	      -0.076635	       49817962	       47013219	       41061716
39.250	      -0.081026	       49522680	       46910105	       40977304
39.500	      -0.084694	       49269514	       46810994	       40889388
39.750	      -0.086435	       49064032	       46680109	       40772072
40.000	      -0.090883	       48756652	       46565246	       40676986
40.250	      -0.094808	       48454496	       46438084	       40574836
40.500	      -0.093250	       48210120	       46255061	       40521388
40.750	      -0.096681	       47748542	       46040656	       40424478
41.000	      -0.099970	       47289036	       45846011	       40367440
41.250	      -0.105054	       46875288	       45695940	       40284554
41.500	      -0.105050	       46580330	       45486044	       40171732
41.750	      -0.096905	       46583854	       45275957	       40083754
42.000	      -0.088406	       46488346	       45009422	       39994742
42.250	      -0.083386	       46288916	       44768011	       39918480
42.500	      -0.083594	       45958278	       44544242	       39802908
42.750	      -0.075073	       45807200	       44238787	       39690690
43.000	      -0.066746	       45642044	       43945217	       39604906
43.250	      -0.069002	       45285428	       43752167	       39493740
43.500	      -0.063973	       45080612	       43497390	       39394006
43.750	      -0.057936	       45035752	       43299952	       39287978
44.000	      -0.054008	       44938012	       43112321	       39171096
44.250	      -0.051711	       44651650	       42865547	       39059618
44.500	      -0.051385	       44294910	       42610791	       38926424
44.750	      -0.051831	       44045348	       42430747	       38804864
45.000	      -0.051968	       43806164	       42233018	       38651262
45.250	      -0.059148	       43359508	       42057494	       38479490
45.500	      -0.065232	       42909050	       41875583	       38341054
45.750	      -0.062242	       42796402	       41675962	       38179190
46.000	      -0.059251	       42613976	       41475215	       38080162
46.250	      -0.057330	       42519598	       41318306	       37941794
46.500	      -0.059321	       42180456	       41115088	       37806964
46.750	      -0.063430	       41669670	       40857854	       37657422
47.000	      -0.075525	       40963816	       40650154	       37503996
47.250	      -0.081193	       40388442	       40388825	       37356136
47.500	      -0.081357	       39928054	       40080394	       37205792
47.750	      -0.074639	       39546860	       39701588	       37088106
48.000	      -0.075601	       39057906	       39402037	       36952516
48.250	      -0.078642	       38494134	       39097948	       36807188
48.500	      -0.085045	       37906068	       38824549	       36627998
